modelo,playlist_size_bucket,target_pop_bucket,n,HitRate@10,MAP@10
Two-Stage Hybrid,long,head,6553,0.032046390965969784,0.012657718868614644
Two-Stage Hybrid,long,mid,5185,0.03297974927675988,0.012881863127764782
Two-Stage Hybrid,long,tail,8332,0.005880940950552089,0.0022305949904365646
Two-Stage Hybrid,medium,head,10456,0.287203519510329,0.1618346267351617
Two-Stage Hybrid,medium,mid,8744,0.22118023787740165,0.12268076794609299
Two-Stage Hybrid,medium,tail,11742,0.0314256515074093,0.01666463894363741
Two-Stage Hybrid,short,head,4526,0.2870083959346001,0.1658687197076504
Two-Stage Hybrid,short,mid,3270,0.24067278287461774,0.1251702587253044
Two-Stage Hybrid,short,tail,5043,0.037081102518342256,0.016082248220856195
