Modelo,HitRate@10,Precision@10,MAP@10,nDCG@10
Random,0.0,0.0,0.0,0.0
Most Popular,0.001111963790700224,0.00011119637907002225,0.00014085993358048596,0.00035012749577912765
Playlist Name Popular,0.011871388075362954,0.001187138807536295,0.004055777923454217,0.005834744163344726
