Modelo,HitRate@10,Precision@10,MAP@10,nDCG@10
Random,1.5661461840848223e-05,1.5661461840848225e-06,2.237351691549746e-06,5.220487280282741e-06
Most Popular,0.001111963790700224,0.00011119637907002225,0.00014103394982316206,0.0003503148878222607
Playlist Name Popular,0.012450862163474338,0.00124508621634743,0.004605128556985207,0.006394981006657049
Two-Stage Cooc+Rerank,0.12098479272055254,0.012098479272056931,0.064764022788173,0.07781391626921849
Two-Stage + LastFM,0.12098479272055254,0.012098479272056931,0.064764022788173,0.07781391626921849
