modelo,playlist_size_bucket,target_pop_bucket,n,HitRate@10,MAP@10
Two-Stage Hybrid,long,head,2803,0.03139493399928648,0.012138921450373466
Two-Stage Hybrid,long,mid,1965,0.035623409669211195,0.014034694454541783
Two-Stage Hybrid,long,tail,4020,0.004975124378109453,0.0019122640764431809
Two-Stage Hybrid,medium,head,4508,0.25842945874001777,0.1354327755947099
Two-Stage Hybrid,medium,mid,3253,0.1540116815247464,0.075361692991573
Two-Stage Hybrid,medium,tail,5729,0.015884098446500263,0.007621277986961354
Two-Stage Hybrid,short,head,1960,0.23673469387755103,0.11137836086815668
Two-Stage Hybrid,short,mid,1299,0.14164742109314857,0.06366496816843241
Two-Stage Hybrid,short,tail,2528,0.014636075949367089,0.005619286216596343
