Modelo,HitRate@10,Precision@10,MAP@10,nDCG@10
Random,0.0,0.0,0.0,0.0
Most Popular,0.001,0.00010000000000000002,0.00025555555555555553,0.00042968827543929595
Playlist Name Popular,0.004333333333333333,0.00043333333333333337,0.0009716931216931218,0.0017452292368818488
Two-Stage Cooc+Rerank,0.025666666666666667,0.002566666666666663,0.007330291005291004,0.011522912694901246
Two-Stage + LastFM,0.025666666666666667,0.002566666666666663,0.007330291005291004,0.011522912694901246
